"team_id","franchiseId","shortName","teamName","abbreviation","link"
"4","16","Philadelphia","Flyers","PHI","/api/v1/teams/4"
"26","14","Los Angeles","Kings","LAK","/api/v1/teams/26"
"6","6","Boston","Bruins","BOS","/api/v1/teams/6"
"3","10","NY Rangers","Rangers","NYR","/api/v1/teams/3"
"5","17","Pittsburgh","Penguins","PIT","/api/v1/teams/5"
"17","12","Detroit","Red Wings","DET","/api/v1/teams/17"
"23","20","Vancouver","Canucks","VAN","/api/v1/teams/23"
"16","11","Chicago","Blackhawks","CHI","/api/v1/teams/16"
"8","1","Montreal","Canadiens","MTL","/api/v1/teams/8"
"19","18","St Louis","Blues","STL","/api/v1/teams/19"
"24","32","Anaheim","Ducks","ANA","/api/v1/teams/24"
"2","22","NY Islanders","Islanders","NYI","/api/v1/teams/2"
"21","27","Colorado","Avalanche","COL","/api/v1/teams/21"
"25","15","Dallas","Stars","DAL","/api/v1/teams/25"
"13","33","Florida","Panthers","FLA","/api/v1/teams/13"
"29","36","Columbus","Blue Jackets","CBJ","/api/v1/teams/29"
"12","26","Carolina","Hurricanes","CAR","/api/v1/teams/12"
